duration (seconds),emg amplitude
22.340156,0
22.34126,4
22.342364,4
22.343468,4
22.344568,9
22.345668,36
22.346868,64
22.348052,100
22.349332,25
22.35052,81
22.351716,484
22.352992,576
22.354268,225
22.355544,16
22.356728,1
22.357836,16
22.359016,16
22.360216,16
22.361404,25
22.362588,64
22.363772,100
22.365048,81
22.366248,25
22.36744,25
22.368632,289
22.369896,441
22.37118,225
22.37246,36
22.373648,0
22.374756,1
22.37586,1
22.376956,1
22.37806,4
22.37916,16
22.380352,49
22.381536,81
22.382736,64
22.383932,1
22.385036,196
22.386304,484
22.38758,289
22.388864,64
22.390052,1
22.391172,1
22.392264,4
22.39336,9
22.394464,25
22.395652,36
22.396836,81
22.398032,81
22.399224,49
22.400428,1
22.40152,324
22.402796,676
22.404076,441
22.405352,100
22.406624,1
22.407724,9
22.408832,16
22.410016,9
22.41112,16
22.41232,25
22.413512,49
22.414696,81
22.415876,49
22.417076,0
22.41818,196
22.419468,441
22.420736,289
22.422004,64
22.4232,1
22.4243,4
22.425404,4
22.426512,4
22.427616,4
22.428728,16
22.429916,49
22.4311,49
22.432288,36
22.43348,0
22.434588,144
22.435864,400
22.437144,400
22.438412,144
22.439684,16
22.44088,1
22.441976,9
22.443088,16
22.444276,25
22.445468,36
22.446652,81
22.447832,121
22.449112,100
22.450404,4
22.451508,169
22.452776,529
22.454052,400
22.455332,100
22.456612,4
22.457712,1
22.458816,4
22.459912,4
22.461016,4
22.46212,25
22.463308,64
22.464492,121
22.465776,121
22.46706,9
22.468172,196
22.469436,676
22.47072,576
22.471996,169
22.47326,9
22.474364,1
22.475476,9
22.476576,4
22.477684,16
22.478876,25
22.480056,49
22.481252,64
22.482436,64
22.483636,4
22.48474,144
22.486008,441
22.487288,324
22.488564,64
22.48976,1
22.490864,1
22.491964,1
22.493072,1
22.494172,1
22.495284,1
22.496384,16
22.497572,64
22.498768,81
22.499956,25
22.50114,36
22.502332,256
22.503608,324
22.504892,100
22.506156,9
22.50726,0
22.50836,4
22.509476,1
22.51058,4
22.511688,9
22.512784,49
